team1,team2,winner,margin,ground,matchDate,match_id,Stage
Namibia,Sri Lanka,Namibia,55 runs,Geelong,16-Oct-22,T20I # 1823,Qualifer
Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,16-Oct-22,T20I # 1825,Qualifer
Scotland,West Indies,Scotland,42 runs,Hobart,17-Oct-22,T20I # 1826,Qualifer
Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,17-Oct-22,T20I # 1828,Qualifer
Namibia,Netherlands,Netherlands,5 wickets,Geelong,18-Oct-22,T20I # 1830,Qualifer
Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,18-Oct-22,T20I # 1832,Qualifer
Ireland,Scotland,Ireland,6 wickets,Hobart,19-Oct-22,T20I # 1833,Qualifer
West Indies,Zimbabwe,West Indies,31 runs,Hobart,19-Oct-22,T20I # 1834,Qualifer
Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,20-Oct-22,T20I # 1835,Qualifer
Namibia,U.A.E.,U.A.E.,7 runs,Geelong,20-Oct-22,T20I # 1836,Qualifer
Ireland,West Indies,Ireland,9 wickets,Hobart,21-Oct-22,T20I # 1837,Qualifer
Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,21-Oct-22,T20I # 1838,Qualifer
Australia,New Zealand,New Zealand,89 runs,Sydney,22-Oct-22,T20I # 1839,Super 12
Afghanistan,England,England,5 wickets,Perth,22-Oct-22,T20I # 1840,Super 12
Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,23-Oct-22,T20I # 1841,Super 12
India,Pakistan,India,4 wickets,Melbourne,23-Oct-22,T20I # 1842,Super 12
Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,24-Oct-22,T20I # 1843,Super 12
South Africa,Zimbabwe,no result,,Hobart,24-Oct-22,T20I # 1844,Super 12
Australia,Sri Lanka,Australia,7 wickets,Perth,25-Oct-22,T20I # 1845,Super 12
England,Ireland,Ireland,5 runs,Melbourne,26-Oct-22,T20I # 1846,Super 12
Afghanistan,New Zealand,abandoned,,Melbourne,26-Oct-22,T20I # 1846a,Super 12
Bangladesh,South Africa,South Africa,104 runs,Sydney,27-Oct-22,T20I # 1847,Super 12
India,Netherlands,India,56 runs,Sydney,27-Oct-22,T20I # 1848,Super 12
Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,27-Oct-22,T20I # 1849,Super 12
Afghanistan,Ireland,abandoned,,Melbourne,28-Oct-22,T20I # 1849a,Super 12
Australia,England,abandoned,,Melbourne,28-Oct-22,T20I # 1849b,Super 12
New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,29-Oct-22,T20I # 1850,Super 12
Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,30-Oct-22,T20I # 1851,Super 12
Netherlands,Pakistan,Pakistan,6 wickets,Perth,30-Oct-22,T20I # 1852,Super 12
India,South Africa,South Africa,5 wickets,Perth,30-Oct-22,T20I # 1853,Super 12
Australia,Ireland,Australia,42 runs,Brisbane,31-Oct-22,T20I # 1855,Super 12
Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,01-Nov-22,T20I # 1856,Super 12
England,New Zealand,England,20 runs,Brisbane,01-Nov-22,T20I # 1858,Super 12
Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,02-Nov-22,T20I # 1859,Super 12
Bangladesh,India,India,5 runs,Adelaide,02-Nov-22,T20I # 1860,Super 12
Pakistan,South Africa,Pakistan,33 runs,Sydney,03-Nov-22,T20I # 1861,Super 12
Ireland,New Zealand,New Zealand,35 runs,Adelaide,04-Nov-22,T20I # 1862,Super 12
Australia,Afghanistan,Australia,4 runs,Adelaide,04-Nov-22,T20I # 1864,Super 12
England,Sri Lanka,England,4 wickets,Sydney,05-Nov-22,T20I # 1867,Super 12
Netherlands,South Africa,Netherlands,13 runs,Adelaide,06-Nov-22,T20I # 1871,Super 12
Bangladesh,Pakistan,Pakistan,5 wickets,Adelaide,06-Nov-22,T20I # 1872,Super 12
India,Zimbabwe,India,71 runs,Melbourne,06-Nov-22,T20I # 1873,Super 12
New Zealand,Pakistan,Pakistan,7 wickets,Sydney,09-Nov-22,T20I # 1877,Super 12
England,India,England,10 wickets,Adelaide,10-Nov-22,T20I # 1878,Super 12
England,Pakistan,England,5 wickets,Melbourne,13-Nov-22,T20I # 1879,Super 12
